Event,Win/Loss/Draw,Fighter,Opponent,Method,Referee,Round,Time,Closed Odds
"UFC 228 - Woodley vs. Till","WIN","ABDUL RAZAK ALHASSAN","NIKO PRICE","KO (Punch)","Jacob Montalvo","1","0:43","-130"
"UFC 220 - Miocic vs. Ngannou","WIN","ABDUL RAZAK ALHASSAN","SABAH HOMASI","KO (Punch)","Steve Rita","1","3:47","-250"
"UFC 218 - Holloway vs. Aldo 2","WIN","ABDUL RAZAK ALHASSAN","SABAH HOMASI","TKO (Punches)","Herb Dean","1","4:21",""
"UFC Fight Night 109 - Gustafsson vs. Teixeira","LOSS","ABDUL RAZAK ALHASSAN","OMARI AKHMEDOV","Decision (Split)","Bobby Rehman","3","5:00","-300"
"UFC Fight Night 99 - Mousasi vs. Hall 2","WIN","ABDUL RAZAK ALHASSAN","CHARLIE WARD","KO (Punch)","Marc Goddard","1","0:53","-330"
"LFC 61 - Legacy Fighting Championship 61","WIN","ABDUL RAZAK ALHASSAN","JOS EICHELBERGER","TKO (Punches)","Seth Fuller","1","0:57",""
"Rage in the Cage OKC 47 - Night of Champions","WIN","ABDUL RAZAK ALHASSAN","KEN JACKSON","TKO (Punches)","N/A","1","0:40",""
"Bellator 143 - Warren vs. Davis","WIN","ABDUL RAZAK ALHASSAN","BRYCE SHEPARD-MEJIA","KO (Punch)","Kerry Hatley","1","1:26","n/a"
"RXMMA - Rocks Xtreme MMA 12","WIN","ABDUL RAZAK ALHASSAN","MATT MCKEON","TKO (Punches)","Jay Stafin","1","0:47",""
"Bellator MMA - Bellator 111","WIN","ABDUL RAZAK ALHASSAN","MATT JONES","TKO (Punches)","Kerry Hatley","1","1:23",""
"XKO - Xtreme Knockout 20","WIN","ABDUL RAZAK ALHASSAN","KOLBY ADAMS","TKO (Punches)","Steve Armstrong","1","0:25",""
"UFC Fight Night 115 - Volkov vs. Struve","WIN","ABDUL-KERIM EDILOV","BOJAN MIHAJLOVIC","TKO (Punches)","Kevin Sataki","2","2:32","-670"
"WFCA 3 - Grozny Battle","WIN","ABDUL-KERIM EDILOV","LEONARDO GOSLING","TKO (Kicks)","Sergey Pelehovskiy","1","0:36",""
"WFCA 1 - Grozny Battle","WIN","ABDUL-KERIM EDILOV","TIAGO MONACO TOSATO","Submission (Rear-Naked Choke)","Nikolay Sharipov","1","2:28",""
"Fight Nights - Battle of Moscow 18","WIN","ABDUL-KERIM EDILOV","GILLIARD ALFREDO FAGUNDES","Submission (Rear-Naked Choke)","N/A","1","0:50",""
"ACB 10 - Coliseum Time","WIN","ABDUL-KERIM EDILOV","CRISTHIAN TORRES","Submission (Rear-Naked Choke)","N/A","1","1:42",""
"Absolute Championship Berkut - Grand Prix Berkut 9","WIN","ABDUL-KERIM EDILOV","FERNANDO ALMEIDA","TKO (Punches)","Ashot Ashughyan","1","2:17",""
"Fight Nights - Battle of Moscow 15","WIN","ABDUL-KERIM EDILOV","LAHAT FAYE","TKO (Punch and Soccer Kick)","N/A","1","N/A",""
"Fight Nights - Krepost Selection 3","WIN","ABDUL-KERIM EDILOV","PAVEL TRETYAKOV","TKO (Punches)","Vladimir Osiya","1","2:28",""
"Fight Nights - Battle on Terek","WIN","ABDUL-KERIM EDILOV","MICHAL GUTOWSKI","TKO (Punches)","N/A","1","0:37",""
"CWFC 58 - Cage Warriors Fighting Championship 58","WIN","ABDUL-KERIM EDILOV","RADJABOV SOHIB","Submission (Rear-Naked Choke)","Neil Hall","1","0:45",""
"Fight Nights - Battle of Moscow 12","WIN","ABDUL-KERIM EDILOV","JIRI PROCHAZKA","Submission (Rear-Naked Choke)","N/A","1","1:56",""
"Fight Nights - Battle of Moscow 11","LOSS","ABDUL-KERIM EDILOV","CHARLES ANDRADE","Submission (Guillotine Choke)","N/A","1","0:58",""
"Fight Nights - Battle of Moscow 9","WIN","ABDUL-KERIM EDILOV","NICHOLAS BABCHUK","Submission (Rear-Naked Choke)","Valentin Tarasov","1","1:14",""
"DFC - Dictator Fighting Championship 1","WIN","ABDUL-KERIM EDILOV","GADZHIMURAD ANTIGULOV","TKO (Punches)","N/A","1","2:28",""
"League S-70 - Russian Championship Third Round","LOSS","ABDUL-KERIM EDILOV","VIKTOR NEMKOV","Decision (Unanimous)","N/A","3","5:00",""
"ProFC - ProFC 22","WIN","ABDUL-KERIM EDILOV","ALEXANDER GREBENKIN","TKO (Punches)","N/A","1","2:40",""
"ProFC - Russia Cup Stage 1","WIN","ABDUL-KERIM EDILOV","MURAD KAMILOV","TKO (Punches)","N/A","1","1:30",""
"ProFC - Russia Cup Stage 1","WIN","ABDUL-KERIM EDILOV","DMITRY SURNEV","Submission (Triangle Choke)","N/A","1","2:36",""
"GFP - Golden Fist Russia","LOSS","ABDUL-KERIM EDILOV","ABDURAHMAN NURMAGOMEDOV","Technical Submission (Triangle Choke)","N/A","1","1:59",""
"M-1 Selection 2010 - Eastern Europe Round 2","WIN","ABDUL-KERIM EDILOV","IGOR SAVELYEV","Decision (Unanimous)","N/A","2","5:00",""
"PAC - Pancration Atrium Cup 2","LOSS","ABDUL-KERIM EDILOV","STANISLAV MOLODCOV","Submission (Rear-Naked Choke)","N/A","1","2:11",""
"UFC Fight Night 134 - Shogun vs. Smith","WIN","ABU AZAITAR","VITOR MIRANDA","Decision (Unanimous)","Kevin Sataki","3","5:00","-230"
"WSOF 33 - Branch vs. Magalhaes","WIN","ABU AZAITAR","MICHAEL ARRANT","Decision (Unanimous)","Marc Wasem","3","5:00","n/a"
"WSOF 30 - Branch vs. Starks","WIN","ABU AZAITAR","DANNY DAVIS JR.","Decision (Unanimous)","John McCarthy","3","5:00","-340"
"ACB 27 - Dushanbe","WIN","ABU AZAITAR","IBRAGIM TIBILOV","TKO (Punches)","Alexander Sidorin","1","1:53",""
"GMC 6 - German MMA Championship 6","WIN","ABU AZAITAR","RAFAL LEWON","Decision (Unanimous)","Wolf Menninger","5","5:00",""
"KSW 27 - Cage Time","DRAW","ABU AZAITAR","PIOTR STRUS","Draw (Majority)","Herb Dean","3","5:00","-300"
"CWFC - Fight Night 10","WIN","ABU AZAITAR","JACK MARSHMAN","TKO (Punches)","Marc Goddard","1","0:34",""
"KSW 25 - Khalidov vs. Sakurai","WIN","ABU AZAITAR","KRZYSZTOF KULAK","TKO (Punches)","Piotr Baginski","1","2:20","-315"
"GMC 4 - Next Level","WIN","ABU AZAITAR","MARCIN NARUSZCZKA","TKO (Punches)","Patrick Drees","2","2:15",""
"KK 8 - Kombat Komplett","WIN","ABU AZAITAR","ROMAN KAPRANOV","TKO (Punches)","Anthony Harris","1","4:30",""
"RFC - Respect Fighting Championship 8","LOSS","ABU AZAITAR","MARCIN NARUSZCZKA","TKO (Doctor Stoppage)","N/A","1","5:00",""
"RFC - Respect Fighting Championship 7","WIN","ABU AZAITAR","MARTIN ZAWADA","Decision (Unanimous)","N/A","3","5:00",""
"SFC 8 - Tournament 2012 Part I","WIN","ABU AZAITAR","NILS WERNERSBACH","TKO (Punches)","Kurt Braun","1","0:12",""
"SFC 7 - M-1 Fighter Europe","WIN","ABU AZAITAR","ANDREI EMBOLAEV","Decision (Unanimous)","N/A","2","5:00",""
"SFC 6 - Germany vs. Georgia","WIN","ABU AZAITAR","DIMITRI DZHUMBURIDZE","TKO (Punches)","Kurt Braun","1","0:18",""
"TFS - Mix Fight Gala Open Air","WIN","ABU AZAITAR","SADNIN KATICA","Submission (Rear-Naked Choke)","N/A","1","0:00",""
"K1M - K1 Maximum","NC","ABU AZAITAR","VOLKER DIETZ","NC (Overturned by Promoter)","N/A","1","1:15",""
"UFC on Fox 31 - Iaquinta vs. Lee 2","LOSS","ADAM MILSTEAD","MIKE RODRIGUEZ","TKO (Knee to the Body and Punches)","Rob Hinds","1","2:59","-143"
"UFC 222 - Cyborg vs. Kunitskaya","LOSS","ADAM MILSTEAD","JORDAN JOHNSON","Decision (Split)","Mark Smith","3","5:00","+175"
"UFC Fight Night 104 - Bermudez vs. Korean Zombie","NC","ADAM MILSTEAD","CURTIS BLAYDES","No Contest (Overturned)","Kerry Hatley","2","0:59","+230"
"UFC Fight Night 88 - Almeida vs. Garbrandt","WIN","ADAM MILSTEAD","CHRIS DE LA ROCHA","TKO (Punches)","Chris Tognoni","2","4:01","-300"
"KOTC - Hands of Steel","WIN","ADAM MILSTEAD","ROBERT MORROW","TKO (Punches)","Bill Bookwalter","1","1:55",""
"GOTC MMA - Gladiators of the Cage 18","WIN","ADAM MILSTEAD","LEWIS RUMSEY","TKO (Punches)","Chip Snider","1","1:10",""
"Pinnacle FC - Pittsburgh Challenge Series 8","WIN","ADAM MILSTEAD","NICK SMILEY","TKO (Punches)","Chip Snider","1","0:58",""
"Gladiators of the Cage - The North Shore's Rise to Power","WIN","ADAM MILSTEAD","TEX TRISMEGISTUS","Submission (Armbar)","Chip Snider","2","4:10",""
"Pinnacle FC - Pittsburgh Challenge Series 1","WIN","ADAM MILSTEAD","BOBBY GURLEY","TKO (Punches)","Chip Snider","1","3:49",""
"NAAFS - Midwest Combat Challenge 22","WIN","ADAM MILSTEAD","DEANDRE BILLINGSLEY","Submission (Guillotine Choke)","N/A","1","1:20",""
"NAAFS - Caged Fury 17","WIN","ADAM MILSTEAD","NATHAN BRYANT","KO (Punches)","Robert Riley","2","3:14",""
"NAAFS - Spohn vs. Hawk 2","LOSS","ADAM MILSTEAD","DANE BONNIGSON","TKO (Punches)","N/A","1","2:51",""
"Ohio Xtreme Fighting 15 - Cross Roads","WIN","ADAM MILSTEAD","ALLEN  ADDINGTON","Submission (Armbar)","N/A","1","1:47",""
"UFC 230 - Cormier vs. Lewis","LOSS","ADAM WIECZOREK","MARCOS ROGERIO DE LIMA","Decision (Unanimous)","Dan Miragliotta","3","5:00","-250"
"UFC on Fox 29 - Poirier vs. Gaethje","WIN","ADAM WIECZOREK","ARJAN SINGH BHULLAR","Submission (Omoplata)","Al Guinee","2","1:59","+245"
"UFC Fight Night 121 - Werdum vs. Tybura","WIN","ADAM WIECZOREK","ANTHONY HAMILTON","Decision (Unanimous)","Leon Roberts","3","5:00","-190"
"Spartan Fight 5 - Browarski vs. Conti","WIN","ADAM WIECZOREK","ERNESTO PAPA","Submission (Rear-Naked Choke)","Grzegorz Skibniewski","0","N/A",""
"PLMMA 67 - Nastula Cup 1","WIN","ADAM WIECZOREK","ZOUMANA CISSE","TKO (Punches)","Piotr Michalak","1","5:06",""
"PLMMA 61 / AFC 5 - Bytom","WIN","ADAM WIECZOREK","KEVIN WIWATOWSKI","Submission (Armbar)","Marian Ziolkowski","3","3:25",""
"PLMMA 56 - Bielsko-Biala","WIN","ADAM WIECZOREK","FILIP TOE","TKO (Punches)","Piotr Michalak","1","3:54",""
"PLMMA 51 - Kalisz","WIN","ADAM WIECZOREK","BARTOSZ JABLONSKI","Submission (Armbar)","Piotr Michalak","1","1:48",""
"FA 10 - Fighters Arena 10","WIN","ADAM WIECZOREK","ANDRZEJ DEBERNY","Submission (Armbar)","Piotr Michalak","1","1:40",""
"MMAC - MMA Challengers 9","WIN","ADAM WIECZOREK","RYSZARD RASZKIEWICZ","TKO (Punches)","Krzysztof Kulak","2","3:53",""
"PMMAF - Polish MMA Championships Finals","LOSS","ADAM WIECZOREK","MARCIN TYBURA","Decision (Unanimous)","N/A","2","5:00",""
"PMMAF - Polish MMA Championships Finals","WIN","ADAM WIECZOREK","ADAM BIZON","Submission (Armbar)","N/A","1","2:23",""
"UFC Fight Night 136 - Hunt vs. Oleynik","LOSS","ADAM YANDIEV","JORDAN JOHNSON","Submission (Arm-Triangle Choke)","Marc Goddard","2","0:42","+185"
"M-1 Challenge 62 - Buchinger vs. Barnaoui","WIN","ADAM YANDIEV","DMITRY VOITOV","Submission (Neck Crank)","Lukasz Bosacki","1","4:34",""
"M-1 Challenge 58 - Battle in the Mountains 4","WIN","ADAM YANDIEV","VALDAS POCEVICIUS","Submission (Rear-Naked Choke)","Marco Broersen","1","1:35",""
"OFS - Octagon Fighting Sensation 4","WIN","ADAM YANDIEV","DONALD NJATAH NYA","Submission (Rear-Naked Choke)","Ashot Ashugyan","1","2:39",""
"M-1 Challenge 57 - Battle in the Heart of the Continent","WIN","ADAM YANDIEV","DMITRIY ADEEV","Submission (Guillotine Choke)","Marco Broersen","1","1:04",""
"ProFC 57 - New Era","WIN","ADAM YANDIEV","KONSTANTIN SKRELYA","TKO (Punches)","N/A","1","1:01",""
"OFS - Octagon Fighting Sensation 3","WIN","ADAM YANDIEV","VLADIMIR BRIK","Submission (North-South Choke)","Vyacheslav Kiselev","1","2:08",""
"Fight Star - Battle on Sura 3","WIN","ADAM YANDIEV","ARTIOM SIDORENKO","TKO (Punches)","N/A","1","0:17",""
"RFP - Ascending Star 1","WIN","ADAM YANDIEV","EVGENIY TEREKHOV","TKO (Punches)","Oleg Saievych","1","1:22",""
"Fight Nights - Battle of Moscow 18","WIN","ADAM YANDIEV","VALERI SHPAK","Submission (Neck Crank)","N/A","1","2:19",""
"League S-70 - Plotforma 7th","WIN","ADLAN AMAGOV","DIRLEI BROENSTRUP","Submission (Armbar)","N/A","1","2:18",""
"UFC 166 - Velasquez vs. Dos Santos 3","WIN","ADLAN AMAGOV","T.J. WALDBURGER","KO (Punches)","Jay Stafin","1","3:00","-238"
"UFC on Fuel TV 9 - Mousasi vs. Latifi","WIN","ADLAN AMAGOV","CHRIS SPANG","Decision (Unanimous)","Leon Roberts","3","5:00","-200"
"Strikeforce - Rousey vs. Kaufman","WIN","ADLAN AMAGOV","KEITH BERRY","TKO (Leg Kick and Punches)","Herb Dean","1","0:48","+108"
"Strikeforce - Rockhold vs. Jardine","LOSS","ADLAN AMAGOV","ROBBIE LAWLER","TKO (Flying Knee and Punches)","Steve Mazzagatti","1","1:48","+108"
"Strikeforce - Challengers 20","WIN","ADLAN AMAGOV","ANTHONY SMITH","KO (Punches)","Chris Tognoni","1","2:32","+108"
"Strikeforce - Challengers 17","WIN","ADLAN AMAGOV","RON STALLINGS","Decision (Split)","Steve Mazzagatti","3","5:00","+108"
"Draka - Governor's Cup 2010","WIN","ADLAN AMAGOV","EVGENY EROKHIN","TKO (Head Kick and Punches)","N/A","1","2:28",""
"ProFC - Union Nation Cup 8","WIN","ADLAN AMAGOV","ALEKSANDAR RADOSAVLJEVIC","TKO (Doctor Stoppage)","N/A","1","2:10",""
"APF - Azerbaijan vs. Europe","DRAW","ADLAN AMAGOV","ATTILA VEGH","Draw","N/A","3","5:00",""
"ProFC - Commonwealth Cup","WIN","ADLAN AMAGOV","SHAMIL TINAGADZHIEV","Decision (Unanimous)","N/A","2","5:00",""
"ProFC - Union Nation Cup 5","WIN","ADLAN AMAGOV","DENYS  LIADOVYI","TKO (Punches)","N/A","1","2:58",""
"ProFC - Union Nation Cup 4","WIN","ADLAN AMAGOV","MASKHAT AKHMETOV","KO (Head Kick)","N/A","1","0:17",""
"ProFC - Union Nation Cup 2","WIN","ADLAN AMAGOV","GADZHIMURAD ANTIGULOV","KO (Punches)","N/A","1","4:05",""
"ProFC - President Cup","WIN","ADLAN AMAGOV","BESIKI GERENAVA","Decision (Unanimous)","N/A","3","5:00",""
"Perm Regional MMA Federation - MMA Professional Cup","WIN","ADLAN AMAGOV","ANSAR CHALANGOV","Decision (Unanimous)","N/A","2","5:00",""
"Perm Regional MMA Federation - MMA Professional Cup","LOSS","ADLAN AMAGOV","ALEXEY OLEYNIK","Submission (Ezekiel Choke)","N/A","1","0:00",""
"UFC Fight Night 151 - Iaquinta vs. Cowboy","LOSS","AIEMANN ZAHABI","VINCE MORALES","Decision (Unanimous)","Kevin MacDonald","3","5:00","-190"
"UFC 217 - Bisping vs. St. Pierre","LOSS","AIEMANN ZAHABI","RICARDO RAMOS","KO (Spinning Back Elbow)","Todd Anderson","3","1:58","+140"
"UFC Fight Night 105 - Lewis vs. Browne","WIN","AIEMANN ZAHABI","REGINALDO VIEIRA","Decision (Unanimous)","Mario Yamasaki","3","5:00","-325"
"Prestige FC 2 - Queen City Coronation","WIN","AIEMANN ZAHABI","KYLE OLIVEIRA","TKO (Knee Injury)","Jerin Valel","1","2:17",""
"Hybrid Combat - Hybrid Pro Series 4","WIN","AIEMANN ZAHABI","JEREMY DICHIARA","TKO (Punches)","N/A","1","0:18",""
"RMMA - Rivals MMA 1","WIN","AIEMANN ZAHABI","SCOTT FARHAT","KO (Punch)","N/A","1","2:36",""
"Hybrid Combat - Hybrid Pro Series 2","WIN","AIEMANN ZAHABI","WESLEY BOWMAN","Submission (Ankle Lock)","N/A","1","4:40",""
"MMAFN - MMA Fight Night 1","WIN","AIEMANN ZAHABI","PHILLIP DESCHAMBEAULT","Submission (Rear-Naked Choke)","Luc Lefebvre","1","2:33",""
"Slamm 1 - Garcia vs. Lamarche","WIN","AIEMANN ZAHABI","KYLE VIVIAN","TKO (Submission to Punches)","Luc Lefebvre","1","1:28",""
"UFC Fight Night 76 - Holohan vs. Smolka","WIN","AISLING DALY","ERICKA ALMEIDA","Decision (Unanimous)","Piotr Michalak","3","5:00","-140"
"UFC 186 - Johnson vs. Horiguchi","LOSS","AISLING DALY","RANDA MARKOS","Decision (Unanimous)","Philippe Chartier","3","5:00","+200"
"UFC - The Ultimate Fighter 20 Finale","WIN","AISLING DALY","ALEX CHAMBERS","Submission (Armbar)","John McCarthy","1","4:53","-245"
"CWFC 63 - Cage Warriors Fighting Championship 63","WIN","AISLING DALY","KARLA BENITEZ","Submission (Armbar)","Rich Mitchell","2","4:26",""
"CWFC 51 - Cage Warriors Fighting Championship 51","LOSS","AISLING DALY","KATJA KANKAANPAA","Decision (Unanimous)","Neil Hall","3","5:00",""
"Invicta FC 3 - Penne vs. Sugiyama","LOSS","AISLING DALY","BARB HONCHAK","Decision (Unanimous)","Greg Franklin","3","5:00","n/a"
"CWFC 47 - Cage Warriors Fighting Championship 47","LOSS","AISLING DALY","ROSI SEXTON","Decision (Unanimous)","Rich Mitchell","3","5:00",""
"NAAFS - Night of Champions 2011","WIN","AISLING DALY","KELLY WARREN","Submission (Armbar)","Mark Matheny","2","4:39",""
"CWFC - Fight Night 2","WIN","AISLING DALY","ANGELA HAYES","Submission (Armbar)","Marc Goddard","1","0:20",""
"NAAFS - Fight Night in the Flats 7","WIN","AISLING DALY","JESSICA EYE","Submission (Rear-Naked Choke)","Mark Matheny","2","4:00",""
"CWFC 41 - Cage Warriors Fighting Championship 41","LOSS","AISLING DALY","SHEILA GAFF","TKO (Knees and Punches)","Marc Goddard","1","1:34",""
"CWFC 39 - The Uprising","WIN","AISLING DALY","MOLLY HELSEL","Decision (Unanimous)","Marc Goddard","3","5:00",""
"BFC - Bellator Fighting Championships 26","LOSS","AISLING DALY","LISA ELLIS","Decision (Unanimous)","Mike England","3","5:00","-125"
"RIR - Rumble in Rush 2","WIN","AISLING DALY","MAIJU SUOTAMA","Decision (Unanimous)","N/A","3","5:00",""
"COT 4 - Cage of Truth","WIN","AISLING DALY","TEVI SAY","TKO (Punches)","N/A","1","2:30",""
"Cage Rage 27 - Step Up","WIN","AISLING DALY","EVA LISKOVA","Submission (Rear-Naked Choke)","N/A","1","1:18",""
"Cage Rage - Contenders: Ireland vs. Belgium","WIN","AISLING DALY","MYRIEM EL BANOUTI","TKO (Punches)","N/A","1","1:38",""
"Cage Rage 25 - Bring It On","WIN","AISLING DALY","AYSEN BERIK","TKO (Corner Stoppage)","N/A","1","1:49",""
"COT 1 - Battle on the Bay","WIN","AISLING DALY","NADIA VAN DER WEL","TKO (Punches)","N/A","2","2:39",""
"Cage Rage - Contenders: Dynamite","WIN","AISLING DALY","MAJANKA LATHOUWERS","Submission (Armbar)","N/A","2","4:43",""
"ROT 7 - The Next Level","WIN","AISLING DALY","ANNIKA SITTER","TKO (Punches)","N/A","1","0:22",""
"Adrenaline 1 - Feel the Rush","WIN","AISLING DALY","NICOLE SYDBOGE","Submission (Guillotine Choke)","N/A","2","1:00",""
"UFC - The Ultimate Fighter Season 20 Quarterfinals, Day 1","LOSS","AISLING DALY","JESSICA PENNE","Decision (Unanimous)","Herb Dean","3","5:00","-245"
"UFC - The Ultimate Fighter Season 20 Opening Round, Day 6","WIN","AISLING DALY","ANGELA MAGANA","TKO (Punches)","Chris Tognoni","3","2:27","-245"
"UFC Fight Night 151 - Iaquinta vs. Cowboy","LOSS","AL IAQUINTA","DONALD CERRONE","Decision (Unanimous)","Jerin Valel","5","5:00","-150"
"UFC on Fox 31 - Iaquinta vs. Lee 2","WIN","AL IAQUINTA","KEVIN LEE","Decision (Unanimous)","Keith Peterson","5","5:00","+230"
"UFC 223 - Khabib vs. Iaquinta","LOSS","AL IAQUINTA","KHABIB NURMAGOMEDOV","Decision (Unanimous)","Dan Miragliotta","5","5:00","+400"
"UFC Fight Night 108 - Swanson vs. Lobov","WIN","AL IAQUINTA","DIEGO SANCHEZ","KO (Punches)","John McCarthy","1","1:38","-450"
"UFC Fight Night 63 - Mendes vs. Lamas","WIN","AL IAQUINTA","JORGE MASVIDAL","Decision (Split)","Keith Peterson","3","5:00","-120"
"UFC 183 - Silva vs. Diaz","WIN","AL IAQUINTA","JOE LAUZON","TKO (Punches)","Marc Goddard","2","3:34","-333"
"UFC Fight Night 55 - Rockhold vs. Bisping","WIN","AL IAQUINTA","ROSS PEARSON","TKO (Punches)","Leon Roberts","2","1:39","+110"
"UFC Fight Night 50 - Jacare vs. Mousasi 2","WIN","AL IAQUINTA","RODRIGO DAMM","TKO (Punches and Elbows)","Herb Dean","3","2:26","-650"
"UFC 173 - Barao vs. Dillashaw","LOSS","AL IAQUINTA","MITCH CLARKE","Technical Submission (Brabo Choke)","Jason Herzog","2","0:57","-500"
"UFC 169 - Barao vs. Faber 2","WIN","AL IAQUINTA","KEVIN LEE","Decision (Unanimous)","Herb Dean","3","5:00","-286"
"UFC Fight Night 30 - Machida vs. Munoz","WIN","AL IAQUINTA","PIOTR HALLMANN","Decision (Unanimous)","Leon Roberts","3","5:00","-170"
"UFC 164 - Henderson vs. Pettis 2","WIN","AL IAQUINTA","RYAN COUTURE","Decision (Unanimous)","Yves Lavigne","3","5:00","-238"
"UFC - The Ultimate Fighter 15 Finale","LOSS","AL IAQUINTA","MICHAEL CHIESA","Technical Submission (Rear-Naked Choke)","Herb Dean","1","2:47","+200"
"ROC 38 - Ring of Combat 38","LOSS","AL IAQUINTA","PAT AUDINWOOD","Submission (Armbar)","Keith Peterson","1","2:06",""
"ROC 37 - Ring of Combat 37","WIN","AL IAQUINTA","GABRIEL MIGLIOLI","TKO (Punches)","Keith Peterson","1","0:26",""
"ROC 36 - Ring of Combat 36","WIN","AL IAQUINTA","GABRIEL MIGLIOLI","Decision (Split)","Keith Peterson","3","4:00",""
"ROC 27 - Ring of Combat 27","WIN","AL IAQUINTA","JOSHUA KEY","TKO (Punches)","Dan Miragliotta","1","1:47",""
"ROC 25 - Ring of Combat 25","WIN","AL IAQUINTA","TIM SYLVESTER","KO (Punch)","Keith Peterson","1","0:15",""
"ROC 24 - Ring of Combat 24","DRAW","AL IAQUINTA","WILL MARTINEZ","Draw (Unanimous)","Kevin Mulhall","3","4:00",""
"ROC 23 - Ring of Combat 23","WIN","AL IAQUINTA","MERVIN RODRIGUEZ","Submission (Anaconda Choke)","Mark Matheny","1","1:15",""
"UFC - The Ultimate Fighter Season 15 Semifinals","WIN","AL IAQUINTA","VINC PICHEL","Decision (Unanimous)","Herb Dean","2","5:00","+200"
"UFC - The Ultimate Fighter Season 15 Quarterfinals, Week 2","WIN","AL IAQUINTA","ANDY OGLE","TKO (Punches)","Steve Mazzagatti","1","4:44","+200"
"UFC - The Ultimate Fighter Season 15 Opening Round, Week 3","WIN","AL IAQUINTA","MYLES JURY","Decision (Split)","Josh Rosenthal","3","5:00","+200"
"UFC - The Ultimate Fighter Season 15 Elimination Fights","WIN","AL IAQUINTA","JON TUCK","Decision (Unanimous)","Steve Mazzagatti","1","5:00","+200"
"CITC - Rumble in Rahway 5","WIN","AL IAQUINTA","DANIEL CARBONEL","Decision (Unanimous)","N/A","3","3:00",""
"NBF - New Breed Fighters 2","WIN","AL IAQUINTA","FRANK CLEMENS","Decision (Unanimous)","N/A","3","3:00",""
"CITC - Rumble in Rahway 3","WIN","AL IAQUINTA","NEIL MENDEZ","Decision (Unanimous)","N/A","3","3:00",""
"UFC 159 - Jones vs. Sonnen","LOSS","ALAN BELCHER","MICHAEL BISPING","Technical Decision (Unanimous)","Herb Dean","3","4:31","+135"
"UFC 155 - Dos Santos vs. Velasquez 2","LOSS","ALAN BELCHER","YUSHIN OKAMI","Decision (Unanimous)","Chris Tognoni","3","5:00","-120"
"UFC on Fox 3 - Diaz vs. Miller","WIN","ALAN BELCHER","ROUSIMAR PALHARES","TKO (Punches and Elbows)","Dan Miragliotta","1","4:18","+160"
"UFC Fight Night 25 - Shields vs. Ellenberger","WIN","ALAN BELCHER","JASON MACDONALD","TKO (Submission to Punches)","Dan Miragliotta","1","3:48","-325"
"UFC 113 - Machida vs. Shogun 2","WIN","ALAN BELCHER","PATRICK COTE","Submission (Rear-Naked Choke)","Mario Yamasaki","2","3:25","-117"
"UFC 107 - Penn vs. Sanchez","WIN","ALAN BELCHER","WILSON GOUVEIA","TKO (Punches)","Herb Dean","1","3:03","-135"
"UFC 100 - Lesnar vs. Mir 2","LOSS","ALAN BELCHER","YOSHIHIRO AKIYAMA","Decision (Split)","Mario Yamasaki","3","5:00","+170"
"UFC 93 - Franklin vs. Henderson","WIN","ALAN BELCHER","DENIS KANG","Submission (Guillotine Choke)","Dan Miragliotta","2","4:36","+220"
"UFC Fight Night 15 - Diaz vs. Neer","WIN","ALAN BELCHER","ED HERMAN","Decision (Split)","Dan Miragliotta","3","5:00","+187"
"UFC 83 - Serra vs. St. Pierre 2","LOSS","ALAN BELCHER","JASON DAY","TKO (Punches)","Dan Miragliotta","1","3:58","-450"
"UFC 77 - Hostile Territory","WIN","ALAN BELCHER","KALIB STARNES","TKO (Doctor Stoppage)","Yves Lavigne","2","1:39","-105"
"UFC 71 - Liddell vs. Jackson","WIN","ALAN BELCHER","SEAN SALMON","Submission (Guillotine Choke)","Steve Mazzagatti","1","0:53",""
"UFC 69 - Shootout","LOSS","ALAN BELCHER","KENDALL GROVE","Submission (Brabo Choke)","John McCarthy","2","4:42",""
"UFC Fight Night 7 - Sanchez vs. Riggs","WIN","ALAN BELCHER","JORGE SANTIAGO","KO (Head Kick)","Steve Mazzagatti","3","2:45",""
"UFC 62 - Liddell vs. Sobral","LOSS","ALAN BELCHER","YUSHIN OKAMI","Decision (Unanimous)","Herb Dean","3","5:00",""
"WEF - Orleans Arena","WIN","ALAN BELCHER","EVERT FYEET","Submission (Toe Hold)","N/A","1","2:04",""
"Raze MMA - Fight Night","WIN","ALAN BELCHER","BUCK MEREDITH","Decision (Unanimous)","Mario Lopez","3","5:00",""
"WEF 17 - World Extreme Fighting 17","WIN","ALAN BELCHER","MARCUS SURSA","TKO (Punches)","Yves Lavigne","1","3:48",""
"Titan FC 1 - Titan Fighting Championship 1","WIN","ALAN BELCHER","RON FIELDS","TKO (Slam)","N/A","1","0:37",""
"XFL - EK 19: Battle at the Brady 3","WIN","ALAN BELCHER","DAVID FRANK","TKO (Submission to Punches)","N/A","2","1:37",""
"XFL - EK 19: Battle at the Brady 3","WIN","ALAN BELCHER","ROGER KIMES","KO (Punches)","N/A","1","1:35",""
"XFL - EK 19: Battle at the Brady 3","WIN","ALAN BELCHER","TRAVIS FOWLER","TKO (Punches)","N/A","1","1:01",""
"WEF 16 - World Extreme Fighting 16","LOSS","ALAN BELCHER","MARVIN EASTMAN","Decision (Unanimous)","Kevin Nix","5","5:00",""
"WXF - X-Impact World Championships 2005","LOSS","ALAN BELCHER","EDWIN AGUILAR","TKO (Punches)","N/A","1","4:01",""
